bowler,runs_allowed,extras_allowed,deliveries_bowled,extra_deliveries,wickets_taken,dots,singles,doubles,threes,fours,sixers,bowl_outs
R Ninan,65,0,36,0,3,8,17,3,0,3,5,0
R Parag,146,2,96,1,2,21,47,12,1,9,6,0
R Rampaul,288,20,262,10,15,127,71,18,2,24,13,1
R Sathish,227,6,139,5,6,30,65,15,0,18,10,1
R Sharma,1079,21,928,7,42,334,412,54,3,70,45,16
R Shukla,198,19,120,10,7,38,34,11,1,21,9,3
R Tewatia,665,19,572,15,27,203,270,28,2,29,36,3
R Vinay Kumar,2906,115,2121,58,127,763,749,170,8,294,96,19
RA Jadeja,3408,107,2713,46,122,870,1224,211,7,213,148,40
RA Shaikh,11,0,6,0,0,1,3,0,0,2,0,0
RA Tripathi,12,0,6,0,0,0,4,0,0,2,0,0
RD Chahar,785,23,642,14,31,239,266,38,1,53,38,7
RE van der Merwe,486,29,443,12,25,148,202,38,2,25,17,9
RG More,57,6,35,2,1,4,17,7,0,5,1,0
RG Sharma,425,24,332,10,16,88,164,30,3,27,14,5
RJ Harris,998,87,832,33,47,364,236,58,2,119,27,12
RJ Peterson,70,0,48,0,3,21,14,3,0,5,5,0
RN ten Doeschate,88,6,78,5,3,22,44,5,0,4,3,0
RP Singh,2236,181,1775,99,100,744,541,115,7,253,69,30
RR Bhatkal,35,0,12,0,0,0,5,2,0,2,3,0
RR Bose,24,0,12,0,0,5,0,2,0,5,0,0
RR Powar,501,37,426,17,15,166,161,28,4,41,18,5
RR Raje,200,14,139,5,7,39,61,8,2,23,4,2
RS Bopara,276,25,206,7,13,61,94,11,0,25,10,2
RS Gavaskar,8,0,6,0,0,2,2,1,0,1,0,0
RV Gomez,128,2,96,1,6,37,36,5,0,10,7,3
RW Price,33,0,18,0,0,1,13,0,0,2,2,0
Rashid Khan,1515,58,1476,14,80,605,615,68,0,107,56,40
Rasikh Salam,39,3,24,3,0,8,9,2,0,3,2,0
Ravi Bishnoi,362,19,306,12,14,119,124,18,0,25,17,5
S Aravind,1007,50,760,28,48,290,273,40,2,105,38,10
S Badree,309,20,258,5,11,109,91,11,0,28,14,5
S Dhawan,65,7,48,1,4,17,17,1,0,7,3,1
S Dube,79,4,64,2,5,16,35,4,0,6,2,1
S Gopal,1155,18,889,9,49,289,402,60,3,68,58,6
S Kaul,1417,59,1005,28,55,314,413,69,0,135,54,14
S Kaushik,291,13,204,6,6,68,79,14,0,25,14,0
S Ladda,221,4,138,3,5,48,51,8,1,12,17,1
S Lamichhane,291,6,210,1,14,75,85,10,0,21,17,3
S Midhun,26,3,12,1,0,3,3,0,1,2,2,0
S Nadeem,1717,47,1391,29,53,444,662,83,6,110,70,13
S Narwal,195,8,106,7,6,37,27,11,0,17,13,1
S Rana,18,0,16,0,0,5,8,1,0,2,0,0
S Randiv,217,6,174,6,8,60,73,14,2,20,5,0
S Sandeep Warrier,115,5,90,4,2,37,31,4,0,13,4,0
S Sreesanth,1112,109,880,67,43,399,250,44,3,128,39,11
S Sriram,49,0,18,0,0,2,7,1,0,4,4,0
S Tyagi,284,20,209,11,6,93,53,11,0,34,12,2
S Vidyut,21,1,12,1,1,5,3,1,0,1,2,0
SA Abbott,55,2,30,2,0,6,13,2,0,8,1,0
SA Yadav,8,0,6,0,0,2,2,1,0,1,0,0
SB Bangar,212,9,150,3,6,55,51,10,1,24,7,1
SB Jakati,1422,52,1085,16,50,337,480,86,7,97,60,12
SB Joshi,82,0,55,0,1,18,24,2,0,6,5,0
SB Styris,270,8,216,6,9,83,86,12,0,19,14,0
SB Wagh,131,16,102,6,5,45,23,6,0,21,2,0
SC Ganguly,359,11,276,4,12,75,137,17,1,25,14,4
SC Kuggeleijn,69,2,48,2,2,17,17,5,0,6,3,0
SD Chitnis,54,8,36,2,2,9,16,2,0,4,3,0
SE Bond,218,7,186,5,9,75,68,12,0,27,3,2
SE Rutherford,54,6,41,5,1,7,24,4,0,4,1,0
SJ Srivastava,409,35,282,24,15,103,96,16,1,50,13,1
SK Raina,1096,43,908,22,30,280,445,44,5,71,44,5
SK Trivedi,1840,104,1506,51,73,492,646,125,4,151,51,17
SK Warne,1408,57,1194,29,60,426,504,99,2,91,56,12
SL Malinga,3193,293,2827,146,188,1144,1017,187,7,312,85,74
SM Boland,53,3,42,1,3,14,17,3,0,6,1,0
SM Curran,645,28,450,22,25,145,170,43,0,66,20,5
SM Harwood,61,13,60,7,3,33,12,5,1,6,2,0
SM Pollock,297,10,276,4,13,130,89,14,2,30,9,1
SMSM Senanayake,206,5,192,3,9,73,84,9,2,17,5,7
SN Khan,6,0,2,0,0,0,0,1,0,1,0,0
SN Thakur,1290,65,901,46,50,327,301,71,7,131,50,2
SP Narine,3086,122,2785,39,143,1100,1099,194,7,234,107,53
SPD Smith,5,0,2,0,0,0,1,0,0,1,0,0
SR Tendulkar,57,2,36,1,0,4,21,3,0,6,1,0
SR Watson,2571,171,2029,108,107,803,682,125,6,292,74,18
SS Agarwal,42,0,24,0,1,7,10,1,0,3,3,0
SS Cottrell,161,16,120,11,6,58,31,3,0,19,8,1
SS Mundhe,5,1,6,1,1,4,1,0,0,1,0,0
SS Sarkar,34,0,25,0,1,4,16,1,0,4,0,1
ST Jayasuriya,375,21,294,7,16,83,149,21,0,22,16,2
STR Binny,741,22,594,17,28,199,250,47,3,76,14,7
SW Tait,557,111,473,61,26,200,142,25,1,70,12,5
Sachin Baby,8,0,10,0,3,5,4,0,0,1,0,0
Sandeep Sharma,2575,111,2057,71,117,847,690,137,6,257,92,35
Shahbaz Ahmed,43,2,36,1,2,8,21,3,0,1,2,0
Shahid Afridi,220,17,180,5,9,57,76,13,0,19,7,3
Shakib Al Hasan,1617,59,1328,30,66,455,591,84,1,109,69,15
Shivam Mavi,464,23,324,17,16,122,108,21,1,46,21,2
Shivam Sharma,165,0,114,0,4,37,47,11,0,9,10,2
Shoaib Ahmed,151,3,102,1,5,33,40,5,1,14,7,2
Shoaib Akhtar,50,4,42,4,5,23,8,3,0,6,2,1
Shoaib Malik,77,10,51,7,2,15,18,6,0,7,3,0
Sohail Tanvir,246,29,247,18,24,121,70,13,0,27,7,11
Sunny Gupta,45,2,18,1,0,0,11,0,0,4,3,0
Swapnil Singh,89,1,60,1,1,10,37,6,0,1,6,0
T Henderson,40,1,36,0,1,14,12,4,0,5,0,0
T Natarajan,601,35,453,18,21,147,187,27,1,53,24,6
T Shamsi,147,4,96,0,3,26,39,7,0,13,7,0
T Thushara,152,12,135,9,10,57,47,10,0,14,4,1
TA Boult,1531,66,1109,43,67,446,342,63,3,190,48,13
TG Southee,1245,71,888,44,34,328,287,68,9,135,42,9
TK Curran,316,12,170,10,9,38,71,16,0,24,19,1
TL Suman,195,3,150,2,7,43,74,14,0,8,10,0
TM Dilshan,361,7,271,4,5,79,134,13,1,27,15,1
TM Head,81,0,48,0,3,7,27,6,0,3,5,0
TP Sudhindra,132,5,70,4,1,18,26,8,0,8,9,0
TS Mills,144,13,107,4,5,41,35,5,1,15,6,3
TU Deshpande,184,9,102,8,3,28,36,7,1,22,7,0
Tejas Baroka,33,0,21,0,0,6,9,2,0,2,2,0
UT Yadav,3446,226,2523,119,137,954,842,147,8,391,114,30
Umar Gul,166,32,135,18,14,51,45,10,0,16,5,7
V Kohli,354,17,251,13,5,52,137,24,0,24,11,1
V Pratap Singh,289,11,204,7,12,71,73,13,2,31,10,2
V Sehwag,233,3,136,2,6,44,53,4,0,18,16,2
V Shankar,216,13,163,13,7,54,73,10,0,20,6,1
VR Aaron,1352,122,964,68,44,381,291,52,8,151,51,7
VRV Singh,531,18,360,11,16,114,135,29,2,58,15,4
VS Malik,254,14,205,7,6,84,68,10,3,30,6,1
VS Yeligati,53,8,30,2,0,6,13,0,0,7,2,0
VY Mahesh,478,33,339,20,22,120,129,17,2,45,19,5
WA Mota,94,4,72,3,4,24,29,9,0,4,5,0
WD Parnell,651,80,572,29,31,241,190,34,0,80,11,6
WPUJC Vaas,345,19,282,6,22,128,86,8,1,40,13,5
Washington Sundar,739,19,654,6,26,240,292,34,1,46,32,5
Y Gnaneswara Rao,7,0,6,0,0,3,1,1,0,1,0,0
Y Nagar,117,8,66,6,4,16,31,2,0,11,6,0
Y Prithvi Raj,54,3,30,3,1,8,11,2,1,6,2,1
Y Venugopal Rao,329,9,216,6,7,59,96,16,1,30,13,2
YA Abdulla,294,17,209,13,15,88,58,15,0,31,13,5
YK Pathan,1372,71,1147,37,46,393,514,54,4,99,57,15
YS Chahal,2649,133,2130,58,124,750,910,139,6,155,135,31
Yuvraj Singh,1064,27,869,13,39,258,422,74,4,59,41,11
Z Khan,2691,169,2200,76,119,873,743,142,9,312,64,31
